transformation_or_attack,coverage,operationalization_across_methods
Variable renaming,15/20,"SWEET and DTW change identifiers; ACW (Guo), CodeTracer, and GDW apply functionality-preserving replacement; MCGMark modifies identifiers; ASLang applies lightweight renaming; CodeMark and SrcMarker rename 25/50/75/100% of variables; DWC uses 25/50/75%; MATRIX replaces identifiers randomly; MCSS renames 2/4/8/16/32 variables; RoSeMary uses 10/30/50%; CLASP uses 25/50/75/100%; SWaRL uses 10/30/50% on MBPP."
Formatting and normalization,2/20,ASLang evaluates formatting and a mixed-normalization condition; MATRIX reformats code with Black.
Comment manipulation,4/20,"MCGMark inserts, modifies, and removes comments; Code Acrostic removes its natural-language comment carrier; ASLang removes comments; PromptMark randomly removes comments."
Rule- or tool-based structural transformation,7/20,CodeMark applies RopGen transformations grouped by their relation to variable context; ACW (Li) uses Ruff sets of 103 or 369 transformations; SrcMarker applies one to three MutableAST transformations; DWC applies one to three transformations alone or with 50% renaming; MATRIX uses Pyrefact; MCSS applies attacks spanning eight structural channels; CLASP applies one to three random transformations.
Model- or service-based rewriting,11/20,SWEET uses CodePal AI Code Refactor; ACW (Guo) and CodeTracer use DIPPER; STONE uses CodePal and GPT-4o; CodeMark uses NatGen; MATRIX and CLASP use GPT-4o; MCSS evaluates five rewriting models at temperature 0.3 and top-p 0.95; RoSeMary uses Qwen2.5-Coder-32B-Instruct and DeepSeek-Coder-7B; SWaRL uses Qwen2.5-3B-Instruct and DeepSeek-Coder-7B-Instruct; PromptMark uses GPT-Codex-5.3 with instructed variable renaming.
Cropping,1/20,CodeIP removes 25% or 50% of the generated artifact.
"Local insertion, modification, and removal",1/20,"MCGMark inserts comments, assignments, and redundant statements; modifies identifiers, I/O, comments, literals, and assignments; and removes modifiable elements."
Random site corruption,1/20,MCSS corrupts 10/20/30/40% of the reconstructed embedding sites.
Watermark-aware or adaptive attack,6/20,"ACW (Li) uses embedding-aware similarity analysis and a CodeT5+ white-box de-watermarking model; CodeMark tests ONION recognition with CodeGPT substitution and white-box re-watermarking; SrcMarker and DWC train white- and black-box de-watermarking and re-watermarking models; RoSeMary re-watermarks with a surrogate model; CLASP uses GPT-4o with knowledge of the LLM-based setting but not of the private rules, original-code repository, or extractor."
